attitude shifter,Everybody makes mistakes; people should not think less of me for one mistake.
attitude shifter,Who I am does not depend on how other people feel about me.
attitude shifter,All people have their strengths and weaknesses. We love and appreciate others even though they are not perfect.
attitude shifter,Failing at something (one thing) does not make me a failure as a person.
attitude shifter,My happiness depends on how I see things and on what I do rather than on others.
attitude shifter,I can find ways to be happy even if I am not admired by everyone.
attitude shifter,It is good to try to make others happy but I need to look after myself too.
attitude shifter,"Even though I might not like doing things that are difficult, I can stand doing them. It's important to remember why I'm doing them."
attitude shifter,"Even though I don't like having to push myself to do things, I can stand it."
attitude shifter,I can manage doing something I don't enjoy even if it's a bit more difficult.
attitude shifter,I can stand having to deal with difficult tasks even if I don't particularly like it.
attitude shifter,"I don't like having to do things right now, but I can stand it."
attitude shifter,"Some problems are not easy to solve. I can tolerate this, even if I don't particularly like it."
attitude shifter,It's possible to do things without feeling like doing them. Sometimes I only feel like it once I have started
attitude shifter,Everyone has people who like and dislike them. If someone doesn't like you that doesn't make you bad.
attitude shifter,Sometimes I do not do well at things but sometimes I do. The fact that I don't succeed at some things does not make me bad as a person.
attitude shifter,"Being rejected or dislike hurts. However, the fact that some people don't like me, does not make me a bad or worthless person."
attitude shifter,"Being disliked by someone important to me, is unpleasant but does not make me worthless as a person."
attitude shifter,"I would really like to do well at important things, and do my best to do well, but I accept that things do not always go as we want them to."
attitude shifter,"I would really like to do well at important tasks, and do everything in my power to succeed, but I can live with the fact that sometimes things simply do not turn out the way we want them to."
attitude shifter," I wish people who are important to me liked me, but I know and accept that people will not always like me."
attitude shifter,"While it is nice if people like me, I can live with the fact that some people might not like me."
attitude shifter,"While I would really like people to treat me with respect, I know and accept that sometimes they don't and that not all things are as we want them."
attitude shifter,"It is nice when people who are important to me treat me fairly, but if they don't, I can accept it; it's bad, but not the worse thing that could happen to me.   "
attitude shifter,"I would really like to get the things I want, but if I don't, I know  it's not the end of the world. Sometimes things we want to happen do happen and sometimes they don't."
attitude shifter,"Although I don't like living with uncertainty and doubt, I know they are often part of life, and we must try to accept them as such."
attitude shifter,"Just because bad things have happened in the past, it doesn't mean they have to keep happening or that they have to influence my life forever."
attitude shifter,I don't gain anything by getting upset about something that hasn't happened yet. It's better to wait and see.
attitude shifter,"Even if something might go wrong, worrying does not help me solve the problem."
attitude shifter,Just being myself and doing what I can makes me a worthwhile person
attitude shifter,"I can learn to be quite happy on my own, without other people to lean on."
attitude shifter,Many things are worth doing even if we don't do them perfectly well.
attitude shifter,Nobody does well all the time; people respect others in spite of this.
attitude shifter,I can find ways to be happy even if some people dislike me.
attitude shifter,"Although good ideas are appreciated, my worth as a person does not depend on my ideas.  "
attitude shifter,"My value as a person/human being can not be reduced to the things I do.  If I do something as well as I can today, that is as good as anybody could be"
attitude shifter,"If I do something as well as I can, that is okay, nobody is perfect."
